seed,N,R,d,lr,epochs,method,error
1194623263,1000,200,14,0.3,15000,qmc,0.09192761778831482
2205739499,1000,200,14,0.3,15000,qmc,0.09911360591650009
2718843009,1000,200,16,0.3,15000,qmc,0.12040085345506668
1278412471,1000,200,16,0.3,15000,qmc,0.11359033733606339
4104543539,1000,200,16,0.3,15000,qmc,0.11199416220188141
1194623263,1000,200,16,0.3,15000,qmc,0.11733327805995941
2205739499,1000,200,16,0.3,15000,qmc,0.12911605834960938
2718843009,1000,200,18,0.3,15000,qmc,0.15103720128536224
1278412471,1000,200,18,0.3,15000,qmc,0.14078408479690552
4104543539,1000,200,18,0.3,15000,qmc,0.13790088891983032
1194623263,1000,200,18,0.3,15000,qmc,0.14395225048065186
2205739499,1000,200,18,0.3,15000,qmc,0.15990597009658813
2718843009,1000,200,20,0.3,15000,qmc,0.19197526574134827
1278412471,1000,200,20,0.3,15000,qmc,0.17732565104961395
4104543539,1000,200,20,0.3,15000,qmc,0.1786806881427765
1194623263,1000,200,20,0.3,15000,qmc,0.18167001008987427
2205739499,1000,200,20,0.3,15000,qmc,0.1992800533771515
2718843009,1000,200,22,0.3,15000,qmc,0.2256297618150711
1278412471,1000,200,22,0.3,15000,qmc,0.22095665335655212
4104543539,1000,200,22,0.3,15000,qmc,0.21943563222885132
1194623263,1000,200,22,0.3,15000,qmc,0.22038467228412628
2205739499,1000,200,22,0.3,15000,qmc,0.2328948974609375
2718843009,1000,200,24,0.3,15000,qmc,0.27030959725379944
1278412471,1000,200,24,0.3,15000,qmc,0.269747257232666
4104543539,1000,200,24,0.3,15000,qmc,0.26225772500038147
1194623263,1000,200,24,0.3,15000,qmc,0.26528385281562805
2205739499,1000,200,24,0.3,15000,qmc,0.27383360266685486
2718843009,1000,200,26,0.3,15000,qmc,0.32559338212013245
1278412471,1000,200,26,0.3,15000,qmc,0.31294530630111694
4104543539,1000,200,26,0.3,15000,qmc,0.31104111671447754
1194623263,1000,200,26,0.3,15000,qmc,0.31425514817237854
2205739499,1000,200,26,0.3,15000,qmc,0.3243923783302307
2718843009,1000,200,28,0.3,15000,qmc,0.37177956104278564
1278412471,1000,200,28,0.3,15000,qmc,0.36302515864372253
4104543539,1000,200,28,0.3,15000,qmc,0.3694000244140625
1194623263,1000,200,28,0.3,15000,qmc,0.37483328580856323
2205739499,1000,200,28,0.3,15000,qmc,0.37820011377334595
2718843009,1000,200,30,0.3,15000,qmc,0.4293842315673828
1278412471,1000,200,30,0.3,15000,qmc,0.44482195377349854
4104543539,1000,200,30,0.3,15000,qmc,0.4320288896560669
1194623263,1000,200,30,0.3,15000,qmc,0.43045005202293396
2205739499,1000,200,30,0.3,15000,qmc,0.4352145791053772
2718843009,1000,200,2,0.3,15000,orf,0.007218337617814541
1278412471,1000,200,2,0.3,15000,orf,0.005819718819111586
4104543539,1000,200,2,0.3,15000,orf,0.009783126413822174
1194623263,1000,200,2,0.3,15000,orf,0.008954891934990883
2205739499,1000,200,2,0.3,15000,orf,0.014436093159019947
2718843009,1000,200,4,0.3,15000,orf,0.014001586474478245
1278412471,1000,200,4,0.3,15000,orf,0.01839420571923256
4104543539,1000,200,4,0.3,15000,orf,0.035490769892930984
1194623263,1000,200,4,0.3,15000,orf,0.016850247979164124
2205739499,1000,200,4,0.3,15000,orf,0.028430063277482986
2718843009,1000,200,6,0.3,15000,orf,0.01607643999159336
1278412471,1000,200,6,0.3,15000,orf,0.021900590509176254
4104543539,1000,200,6,0.3,15000,orf,0.02400621958076954
