model,mse,mae,cal,z,nlpd
srf,0.639517668128847,0.5985084592400034,0.1572327017784118,-0.0092995544335398,18474.625936140423
mix,0.3692105410664902,0.4340388903993928,0.8805031180381775,0.0037119449742824,1835.8994964096885
mmd,0.4077748525948603,0.4327197973392483,0.8867924213409424,0.0053195727924723,154759.15707527642
svgp,0.365728298211504,0.4735818731281702,0.955974817276001,0.0007794556944661,2043.5498294779904
rff_rbf,0.8156390212843726,0.6916500308948585,0.4716981053352356,0.0037045206057177,954.5984724025556
rff,0.8359096747952822,0.6365780763209853,0.5345911979675293,0.0038872237565273,869.1553605210328
qrff,0.4858378113218159,0.4694705241424396,0.654088020324707,0.0030754125020498,406.3578820073799
srf,0.5758660276334955,0.5867726936829216,0.0754716992378234,0.0046688360236721,16629.97456089766
mix,0.3081535100541729,0.403181533076606,0.8993710279464722,-0.0013738109956924,1733.076575914138
mmd,0.347138264149826,0.3875031020853161,0.8867924213409424,-0.0021103401827632,176260.99586278133
svgp,0.40070898699597,0.4861587111122257,0.962264120578766,-0.0053667581656904,2101.9906549042976
rff_rbf,0.4678880665850061,0.5148699529682166,0.5597484111785889,-0.0052366701405783,530.592975103127
rff,0.6980317143321657,0.591707313038327,0.5723270177841187,0.0219136624945764,722.0103944562999
qrff,0.3841310295794296,0.4233555866079598,0.7106918096542358,-0.0030607754553169,323.0579940819594
srf,0.75707635885253,0.6152025853879683,0.1572327017784118,0.0105905620493099,21912.59624857535
mix,0.357421805144839,0.4329509467545969,0.8993710279464722,0.0026566843664581,1861.18564143356
mmd,0.3379459475525131,0.3983766395995027,0.9371069073677064,0.0024282016442965,148933.6953321393
svgp,0.4046152290293605,0.5069894479818721,0.9433962106704712,0.0096462144136186,2325.2475300216133
rff_rbf,0.900459291198371,0.7627078043557968,0.377358466386795,0.0184374838592684,1063.4750126415177
rff,0.8709901830464349,0.6498411936535795,0.5283018946647644,0.0014160606756638,907.9939911926244
qrff,0.556373942980145,0.50171562742572,0.6477987170219421,0.0168848963040306,467.9750324659999
srf,0.5619193058740923,0.5619292874588587,0.138364776968956,0.0179889216192974,16184.056292012368
mix,0.3633428680077669,0.4422468192083401,0.8867924213409424,0.0173100807813597,2109.715615987064
mmd,0.4174002347170729,0.4423092873864374,0.9182389378547668,0.0085024365843917,164097.8616065914
