model,mse,mae,cal,z,nlpd
srf,7.0202124641046355,1.8717327738258076,0.2800000011920929,-0.0003974455620382513,5000.69278481105
mix,2.066485471953507,0.9915939389605892,0.9266666769981384,-0.0011569670823184232,236.196251253204
svgp,4.0045288147982125,1.5528693633561919,0.9933333396911621,0.00010257015534689458,250.4568992870611
rff_rbf,9.187982266734528,2.1832164530951066,0.4399999976158142,-0.0013086225867179435,791.0400399375094
rff,3.910524524133671,1.2590656725121752,0.8333333730697632,-0.0021479447079953977,83.93725425102696
qrff,29.906353574557745,3.1549587867108957,0.5800000429153442,-0.0028500212888596544,1251.1231136771983
srf,5.872269045249086,1.5560330686765358,0.31333333253860474,-0.002188496793316646,3461.008644235399
mix,2.193171032675827,1.135179999852321,0.9333333373069763,0.00019351063422716605,322.66950312999
svgp,6.508420648105972,1.6230340045745117,0.9466667175292969,0.0019018646106369113,818.2360427360427
rff_rbf,9.695568147525378,2.1113821159803465,0.4933333396911621,-0.002705487964072838,933.2620123143815
rff,7.9655928182975915,1.8620289243146728,0.7133333683013916,0.0008197979363992647,326.14459553718086
qrff,5.679600999546551,1.5432013976170358,0.7666667103767395,-0.0008584193959769775,121.18772915778578
srf,5.241582712282209,1.5269819637838848,0.2800000011920929,0.0012617596908024845,3442.08450301919
mix,5.112180609523723,1.4773541213622756,0.8799999952316284,0.0006006126762452815,692.2725727280558
