model,mse,mae,cal,z,nlpd
svgp,0.03302163188551234,0.1261484355026337,0.9640000462532043,-0.003726746828225188,1977.72487781274
rff_rbf,0.02207999295258943,0.09564952133430515,0.2850000262260437,-0.002354909502393508,23702.070042916137
rff,0.3947665998980341,0.3694317787414554,0.9600000381469727,-0.03010150024866837,633.4826568576973
deep_rff,0.02104338711075916,0.08741309732968912,0.2639999985694885,-0.0008361768856371901,32548.156015390727
qrff,0.02746835930163965,0.11653233345633396,1.0,-0.003317792691889065,326.8249603789294
srf,0.021246231474085518,0.08182514807931407,0.2670000195503235,-0.0005710116158487996,28177.879442888454
mix,0.01841711254407962,0.09376316460859249,0.9160000681877136,-0.003932822032136778,62890.77762575138
deep_mix,0.010581680168326111,0.06456602709105612,0.6270000338554382,0.0007397151174344237,18300.32261111181
svgp,0.05231063696073355,0.16029760931501716,0.9900000691413879,0.0005133920369870884,189.43598439028847
rff_rbf,0.017607946210517172,0.08857729716015711,0.3110000193119049,-0.0018931641121555202,18322.37143988213
rff,0.07842541959614434,0.1973435449974418,0.9980000257492065,-0.00010816018133139149,376.201030381643
deep_rff,0.030071728749171394,0.09963090253148948,0.23000000417232513,-0.0025848713656886676,51251.327639848234
qrff,0.023195641440530275,0.10704778451545381,1.0,-0.0014033061174090532,322.4488784707105
srf,0.018482046437113354,0.07882551474942133,0.30400002002716064,-0.002149895054379087,24409.297541885087
mix,0.01986295410073383,0.09648972286867206,0.9260000586509705,-0.0012745844988187153,62618.58421697931
deep_mix,0.010301094734175457,0.06118714606314602,0.6660000085830688,-0.0022200342375796665,15887.274991625443
svgp,0.027323418411996016,0.11999978026739329,0.9660000205039978,0.004330397822858939,1325.439005393986
rff_rbf,0.01411488968211794,0.08560958959819867,0.2840000092983246,0.0022830565784782734,16239.491764246759
rff,0.02770608598593827,0.11976541028165733,1.0,0.002015743720256236,325.744739166007
deep_rff,0.013297029702618092,0.08047224009720379,0.27000001072883606,-0.00011320148062345992,24662.991478640433
qrff,0.028831737521937555,0.12426451451283316,1.0,0.0029573836116386855,326.345272084694
srf,0.009529664072715575,0.06457457537144672,0.3410000205039978,4.671919937959856e-05,14999.636593382436
mix,0.017221517548977067,0.09095478811353523,0.9050000309944153,0.001065842058921802,53714.536236521984
deep_mix,0.006861922040667196,0.057957831671726766,0.6230000257492065,0.0010928045478810768,12037.414177287868
svgp,0.043485778206417185,0.1435692305841114,0.9470000267028809,-0.0038330352427706437,5079.121665747232
rff_rbf,0.08025414091365865,0.18342080937276467,0.17100000381469727,-0.002595440095784314,99621.50497999696
rff,0.027571464983261282,0.12106676563116514,1.0,-0.0002393249249731927,327.66574482183125
deep_rff,0.01616356090072327,0.08967153465130598,0.24000000953674316,-0.0016448173597729285,33405.93908352351
qrff,0.025438671747526873,0.11449619879521472,1.0,-0.00244546932432943,324.1563547591337
srf,0.021057839334032876,0.08222154262623317,0.3060000240802765,-0.0021277854002605527,33900.87542807463
mix,0.018105542613290275,0.09285230994034092,0.906000018119812,-0.0028507864031302363,59124.701611102726
deep_mix,0.00893203353937349,0.06028071145880114,0.6630000472068787,-0.0038371628699242237,15209.226163683315
svgp,0.04599969707740087,0.15212315039984825,0.9530000686645508,0.0011946143602897385,6033.161938086672
rff_rbf,0.01590644669971324,0.08907839698077026,0.27400001883506775,-0.0020218932761536766,18554.417316607312
rff,0.024325953194594612,0.11112034284615882,1.0,0.00043925613990698244,324.19791513546943
deep_rff,0.019052779260165964,0.09682482793038973,0.23000000417232513,-0.0026205995411110916,39981.87322761733
qrff,0.02711010457443773,0.11659919653884712,1.0,4.338861707316544e-05,325.97933461477726
srf,0.017751503665944024,0.08453755587608211,0.29500001668930054,-0.002850743315784185,28291.24762381614
mix,0.016578127113566397,0.08857931664262027,0.9280000329017639,-0.0019183608768754174,55242.05700600426
deep_mix,0.009704583093138378,0.06452645815660922,0.6460000276565552,-0.003565470294104835,18061.16371988328
svgp,0.03647798064959853,0.13355387618880543,0.9630000591278076,-0.0013609979796859542,2413.640331488818
rff_rbf,0.018183637004456424,0.09563621013606687,0.25300002098083496,0.0012295434734799807,22383.352835344478
rff,0.03051265747165769,0.12450239378964523,1.0,-0.00043145138835611437,328.25858185855327
deep_rff,0.01773255230218374,0.09368879721087536,0.24900001287460327,-0.0006453842723769204,36414.550238399606
qrff,2.6377573964494103,1.2095611024451023,0.734000027179718,0.016993724888327618,2225.6497422696875
srf,0.01890490786846891,0.08482960712980722,0.29100000858306885,0.0007438323840198997,28631.772280670768
mix,0.017481855547718896,0.0873055622925396,0.9130000472068787,-0.0014664904329643239,49919.13173870862
deep_mix,0.013790867705991229,0.0641965181837094,0.6610000133514404,0.0005055931723466796,17282.155999925457
