model,mse,mae,cal,z,nlpd
rff_rbf,22.60991163493934,3.6509227062312264,0.9708737730979919,-0.004906809732438181,19.909516730546954
rff,17.59098995669815,3.1006705057144384,0.9708737730979919,-0.0018595096244989346,7.197379843574936
qrff,14.356286320611606,2.7629950247511,0.9708737730979919,-0.004982693516141033,1.3850335130048848
srf,29.14912739766183,3.544343285149828,0.9417476058006287,-0.012824953490762996,23.311645522521715
mix,10.923202722697022,2.5554276524150805,0.8640776872634888,-0.0028916386595160192,26.87284340975646
svgp,32.443484748850715,4.3461699066056285,0.9902912974357605,0.0044624720456706716,222.95941676112153
rff_rbf,28.963174648976718,3.9710136615875578,0.9417476058006287,-0.003753887050861868,28.836070189733064
rff,17.51322900412199,2.8626180701450963,0.9805825352668762,-0.005781758353764291,7.9397263565934395
qrff,23.510309969257257,3.1766708268905237,0.9611650705337524,0.007562773174784491,19.068026169590127
srf,30.521814909900346,3.75008045035269,0.9514563083648682,0.011336585921418722,28.15393075998277
mix,19.868214140690988,2.8615644809989935,0.844660222530365,0.007503741637568101,169.4478810457077
